#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.70521  0.51444  0.70843  0.00000  0.00000  0.01964  0.01587
  3.89798  0.45028  0.76886  0.00000  0.00000 -0.00518  0.02812
  2.55579 -0.13940  0.82639  0.00000  0.57695 -0.01220 -0.00368
  5.08487  0.56637  0.66999  0.00000  0.00000  0.01747  0.01640
  5.07940  0.56150  0.66639  0.00000  0.00000 -0.02207  0.00611
  5.29905  0.53530  0.65292  0.00000  0.00000  0.07180 -0.04261
  3.63189  0.40307  0.78216  0.00000  0.00000 -0.02845  0.00297
  4.48309  0.48992  0.72614  0.00000  0.00000 -0.00284  0.00995
  4.63290  0.46206  0.71457  0.00000  0.00000  0.01547 -0.03064
  4.62501  0.50294  0.71273  0.00000  0.00000 -0.01261  0.00800
  5.25760  0.52744  0.65177  0.00000  0.00000  0.01903 -0.05111
  5.34384  0.57359  0.64494  0.00000  0.00000  0.04179 -0.01628
  4.91305  0.53320  0.68586  0.00000  0.00000 -0.00261  0.00778
  4.11622  0.45504  0.75692  0.00000  0.00000  0.02749  0.01505
  1.83452  0.62499  0.81982  0.00000  0.00000 -0.01313  0.00860
  4.73606  0.52828  0.70166  0.00000  0.00000 -0.02216  0.02247
  4.62196  0.48611  0.71483  0.00000  0.00000  0.00742 -0.00626
  3.58829  0.36195  0.78595  0.00000  0.00000  0.00574 -0.03186
  0.52500  0.65999  0.82355  0.00000  0.00000  0.01106 -0.00690
  5.20111  0.59192  0.65694  0.00000  0.00000  0.01093  0.02047
  4.76085  0.53075  0.70273  0.00000  0.00000  0.01409  0.02586
  4.93690  0.46567  0.68569  0.00000  0.00000  0.01962 -0.06003
  5.43184  0.54320  0.62970  0.00000  0.00000 -0.01253 -0.07126
  3.17802  0.34575  0.80263  0.00000  0.00000 -0.00284 -0.02174
  5.44648  0.63364  0.63556  0.00000  0.00000  0.05720  0.02829
  4.85212  0.47945  0.69417  0.00000  0.00000  0.01796 -0.03468
  4.84215  0.53651  0.69470  0.00000  0.00000  0.01313  0.02300
  4.61826  0.50353  0.71807  0.00000  0.00000  0.03991  0.01495
  4.19970  0.43518  0.74868  0.00000  0.00000 -0.00463 -0.01628
  3.09080  0.35771  0.80480  0.00000  0.00000 -0.01858 -0.00930
  4.66617  0.48800  0.71040  0.00000  0.00000  0.00234 -0.00871
  4.33695  0.46574  0.74022  0.00000  0.00000  0.02217  0.00329
  4.74013  0.49456  0.70385  0.00000  0.00000  0.00534 -0.00900
  5.06113  0.57786  0.67147  0.00000  0.00000  0.00805  0.03002
  4.86638  0.47976  0.69790  0.00000  0.00000  0.06909 -0.02984
  3.97413  0.42367  0.76396  0.00000  0.00000 -0.00825 -0.00570
  3.68832  0.39900  0.78070  0.00000  0.00000 -0.00143 -0.00315
  4.53392  0.41674  0.72093  0.00000  0.00000 -0.01192 -0.06892
  2.92705  0.40102  0.80915  0.00000  0.00000 -0.01080  0.02746
  5.49406  0.66021  0.62666  0.00000  0.00000  0.02206  0.04042
  4.34232  0.45939  0.73852  0.00000  0.00000  0.00621 -0.00547
  5.11256  0.54649  0.66792  0.00000  0.00000  0.02569 -0.00701
  4.77125  0.54459  0.70306  0.00000  0.00000  0.02801  0.03999
  5.49675  0.57967  0.62395  0.00000  0.00000 -0.00052 -0.04455
  3.43892  0.36187  0.79219  0.00000  0.00000 -0.01028 -0.02095
  4.68886  0.48145  0.70910  0.00000  0.00000  0.01067 -0.01649
  5.32626  0.54457  0.63859  0.00000  0.00000 -0.03543 -0.05554
  3.18799  0.38434  0.80232  0.00000  0.00000 -0.00293  0.01655
  5.40903  0.59276  0.62982  0.00000  0.00000 -0.03433 -0.02152
  5.13825  0.48920  0.66626  0.00000  0.00000  0.03549 -0.06626
  3.18725  0.38356  0.80175  0.00000  0.00000 -0.02044  0.01458
  5.35714  0.53220  0.63742  0.00000  0.00000 -0.01568 -0.06965
  4.38829  0.48592  0.73547  0.00000  0.00000  0.01451  0.01709
  5.19653  0.58818  0.65654  0.00000  0.00000  0.00252  0.01559
  4.57307  0.47301  0.71913  0.00000  0.00000  0.00668 -0.01450
  5.04088  0.50869  0.67053  0.00000  0.00000 -0.02133 -0.04041
  5.00861  0.56208  0.67430  0.00000  0.00000 -0.01732  0.01833
  3.29865  0.35844  0.79938  0.00000  0.00000  0.02322 -0.01248
  4.62910  0.54462  0.71276  0.00000  0.00000 -0.00821  0.04971
  5.32994  0.64984  0.63511  0.00000  0.00000 -0.06389  0.04449
  4.87379  0.49739  0.69320  0.00000  0.00000  0.03023 -0.01787
  4.75319  0.56401  0.70334  0.00000  0.00000  0.01297  0.05976
  3.33519  0.35841  0.79666  0.00000  0.00000 -0.01113 -0.01665
  5.09018  0.52130  0.67173  0.00000  0.00000  0.03958 -0.02621
  5.39243  0.67638  0.63772  0.00000  0.00000  0.02248  0.07501
  3.79696  0.42292  0.77334  0.00000  0.00000 -0.02973  0.00873
  2.90445  0.37534  0.81006  0.00000  0.00000  0.00936 -0.00154
  3.22846  0.37994  0.80097  0.00000  0.00000 -0.00248  0.01087
  5.41044  0.64101  0.63073  0.00000  0.00000 -0.02467  0.02802
  3.96531  0.43952  0.76596  0.00000  0.00000  0.01446  0.01345
  5.39335  0.58385  0.63153  0.00000  0.00000 -0.03402 -0.02815
  4.84550  0.44534  0.69303  0.00000  0.00000  0.00032 -0.07011
  3.13427  0.38620  0.80392  0.00000  0.00000 -0.00503  0.01890
  5.38341  0.43954  0.63952  0.00000  0.00000  0.03096 -0.15932
  4.63033  0.47800  0.71453  0.00000  0.00000  0.01241 -0.01475
  4.20374  0.47882  0.74892  0.00000  0.00000  0.00279  0.02765
  5.24969  0.52099  0.65025  0.00000  0.00000 -0.00312 -0.06026
  5.28172  0.61358  0.65065  0.00000  0.00000  0.03269  0.03300
  5.40925  0.59952  0.63020  0.00000  0.00000 -0.03075 -0.01419
  5.34331  0.51924  0.64097  0.00000  0.00000  0.00386 -0.07647
  5.44371  0.52205  0.62948  0.00000  0.00000 -0.00260 -0.09274
  4.36087  0.48650  0.73741  0.00000  0.00000  0.01109  0.01992
  5.30712  0.58210  0.64251  0.00000  0.00000 -0.01763 -0.01187
  4.31633  0.43836  0.73946  0.00000  0.00000 -0.00816 -0.02506
  2.92431  0.37624  0.80897  0.00000  0.00000 -0.02129  0.00290
  4.23018  0.46945  0.74418  0.00000  0.00000 -0.03386  0.01190
  2.65280  0.41219  0.81404  0.00000  0.00000  0.00137 -0.00175
  4.19400  0.48180  0.74673  0.00000  0.00000 -0.03673  0.02801
  1.13493  0.62233  0.82211  0.00000  0.00000 -0.01319 -0.02410
  3.47537  0.41073  0.79133  0.00000  0.00000  0.00735  0.02652
  5.30075  0.61264  0.64435  0.00000  0.00000 -0.00601  0.02022
  3.13639  0.36312  0.80381  0.00000  0.00000 -0.00648 -0.00433
  3.80140  0.39676  0.77471  0.00000  0.00000 -0.00016 -0.01597
  4.61755  0.50174  0.71587  0.00000  0.00000  0.01460  0.01066
  5.08615  0.55584  0.67140  0.00000  0.00000  0.03238  0.00791
  5.11148  0.57093  0.66621  0.00000  0.00000  0.00828  0.01545
  5.46020  0.66685  0.63076  0.00000  0.00000  0.02536  0.05389
  5.49806  0.66971  0.62695  0.00000  0.00000  0.02899  0.05009
  4.43750  0.49828  0.73000  0.00000  0.00000 -0.00294  0.02321
  4.57979  0.48706  0.71694  0.00000  0.00000 -0.01121 -0.00272
  4.15581  0.46372  0.74976  0.00000  0.00000 -0.03362  0.01355
  5.49851  0.70370  0.62707  0.00000  0.00000  0.03068  0.08415
  3.52506  0.37992  0.78820  0.00000  0.00000 -0.01042 -0.00958
  5.12275  0.54529  0.66624  0.00000  0.00000  0.01985 -0.01017
  5.12374  0.61291  0.66150  0.00000  0.00000 -0.02267  0.04834
  4.32005  0.46440  0.74018  0.00000  0.00000  0.00479  0.00190
  4.40407  0.48146  0.73206  0.00000  0.00000 -0.01142  0.00879
  5.40050  0.60817  0.63437  0.00000  0.00000 -0.00051  0.00164
  5.24015  0.64935  0.65251  0.00000  0.00000  0.00858  0.07180
