V1,V2,V3,V4,V5,V6,V7
5.15465,0.68199,0.72585,0,0,-0.01306,0.01469
3.53438,0.51849,0.88463,0,0,0.01525,0.00961
3.72694,0.47433,0.87142,0,0,0.01518,-0.03699
3.2284,0.52753,0.901,0,0,-0.00183,0.00226
5.11179,0.70058,0.73052,0,0,-0.0125,0.04103
4.29454,0.52377,0.81973,0,0,-0.00667,-0.02618
5.01616,0.67128,0.7435,0,0,0.00965,0.03297
5.18113,0.68505,0.72327,0,0,-0.01072,0.01423
5.3193,0.68553,0.70906,0,0,-0.00469,-0.01268
3.77918,0.49136,0.86692,0,0,0.00757,-0.0219
5.44685,0.80962,0.70004,0,0,0.0372,0.09368
5.28231,0.69801,0.71674,0,0,0.02983,0.01459
4.10395,0.5425,0.83905,0,0,0.01062,0.01026
5.11046,0.67736,0.73325,0,0,0.01042,0.02304
5.2085,0.6354,0.72211,0,0,0.00624,-0.03815
4.97777,0.63479,0.74864,0,0,0.01721,0.00395
4.2609,0.56734,0.82452,0,0,0.00886,0.02238
4.89676,0.64433,0.75604,0,0,0.00305,0.0233
3.01672,0.61496,0.91296,0,0,0.0101,-9e-04
3.82979,0.52239,0.86272,0,0,0.00779,0.00731
3.80946,0.54683,0.86425,0,0,0.00511,0.03193
4.35626,0.57515,0.81272,0,0,-0.01679,0.01929
5.36844,0.71235,0.70476,0,0,0.00384,0.00593
5.36619,0.74726,0.70218,0,0,-0.02333,0.0356
3.04557,0.57647,0.91151,0,0,0.01652,-0.01517
5.36545,0.66791,0.7064,0,0,0.01571,-0.0348
5.1824,0.68089,0.72685,0,0,0.02413,0.01557
5.36138,0.73167,0.70523,0,0,0.00105,0.02637
5.42029,0.76055,0.70093,0,0,0.01941,0.0461
3.18141,0.53065,0.90223,0,0,-0.02488,0.00279
4.69824,0.59589,0.78381,0,0,0.05175,0.00888
5.00641,0.64764,0.74006,0,0,-0.03101,0.0035
5.06038,0.61452,0.74254,0,0,0.04525,-0.0254
3.59582,0.51921,0.88139,0,0,0.02708,0.01007
4.67396,0.56536,0.77814,0,0,-0.02337,-0.02793
3.22137,0.5206,0.90025,0,0,-0.02365,-0.00308
5.2226,0.6294,0.7229,0,0,0.02736,-0.04232
2.96445,0.65561,0.91427,0,0,-0.01267,0.01585
0.16475,0.80757,0.92792,0,0,0.00097,0.00216
3.40265,0.48792,0.89156,0,0,-0.00245,-0.02412
5.15051,0.66909,0.72798,0,0,0.0028,0.00529
3.04825,0.55845,0.9106,0,0,0.00579,-0.0212
4.53075,0.52943,0.79845,0,0,0.01862,-0.04143
5.31384,0.64886,0.71169,0,0,0.0141,-0.04378
4.48973,0.60379,0.79999,0,0,-0.00794,0.03482
3.55132,0.50323,0.88303,0,0,0.00765,-0.00578
4.42118,0.54921,0.80636,0,0,-0.01485,-0.01335
4.32911,0.51452,0.81865,0,0,0.01687,-0.0364
3.10894,0.544,0.90604,0,0,-0.02006,0.00181
3.48618,0.51458,0.88754,0,0,0.01373,0.00468
5.00411,0.65606,0.74222,0,0,-0.01398,0.01547
4.54045,0.55864,0.79671,0,0,0.01189,-0.01385
5.37903,0.69206,0.69706,0,0,-0.05733,-0.02939
5.17707,0.65118,0.72512,0,0,0.0024,-0.01698
3.9959,0.54653,0.84709,0,0,-0.00446,0.02102
4.59389,0.58136,0.79343,0,0,0.03529,0.00534
4.73794,0.62173,0.77339,0,0,-0.0016,0.02273
3.03453,0.54902,0.91014,0,0,-0.01584,-0.02524
3.54076,0.49309,0.88194,0,0,-0.01942,-0.01621
2.31019,0.71896,0.92113,0,0,-0.00764,0.00353
3.71924,0.51596,0.87272,0,0,0.02559,0.00473
3.76102,0.53821,0.86611,0,0,-0.02089,0.02456
4.21372,0.53655,0.82887,0,0,0.00837,-0.00468
4.71642,0.55941,0.77534,0,0,-0.0059,-0.03691
4.30415,0.53156,0.8167,0,0,-0.02858,-0.02063
5.19797,0.61308,0.71988,0,0,-0.02467,-0.06513
4.40557,0.53643,0.81016,0,0,0.00728,-0.0219
5.42889,0.64519,0.69987,0,0,0.01773,-0.07105
3.83335,0.52448,0.86187,0,0,0.00253,0.0091
4.76332,0.62164,0.77054,0,0,-0.00205,0.01934
4.07105,0.5154,0.84163,0,0,0.00743,-0.01508
4.93665,0.62728,0.75339,0,0,0.01934,0.00193
4.41047,0.57768,0.80998,0,0,0.01039,0.01917
3.94489,0.52762,0.85102,0,0,-0.00952,0.00514
4.78811,0.62596,0.76496,0,0,-0.02657,0.01614
4.36487,0.58299,0.81223,0,0,-0.01303,0.02669
2.97974,0.67295,0.91465,0,0,0.01535,0.02628
3.01578,0.62405,0.91304,0,0,0.01044,0.00708
4.73931,0.62061,0.77243,0,0,-0.00882,0.02032
4.09147,0.50285,0.83928,0,0,0.00067,-0.02908
5.22466,0.62972,0.71996,0,0,0.00283,-0.04839
5.33902,0.67369,0.70395,0,0,-0.0335,-0.03468
4.75244,0.60191,0.77714,0,0,0.04622,0.00749
3.84837,0.5329,0.86208,0,0,0.01967,0.01742
5.46531,0.77691,0.69738,0,0,0.03189,0.05595
4.57377,0.57598,0.79518,0,0,0.03091,0.00214
5.0013,0.59091,0.7415,0,0,-0.02345,-0.05049
3.51773,0.50771,0.88486,0,0,0.00218,-0.00119
4.55964,0.58371,0.79402,0,0,0.00634,0.00842
5.26304,0.68508,0.71627,0,0,0.00651,0.00051
4.33648,0.52283,0.81485,0,0,-0.01508,-0.03104
4.37026,0.50896,0.81402,0,0,0.01035,-0.04568
